Month,Date,Car,Hour
October,Sunday,58,3
November,Sunday,108,3
December,Sunday,68,3
January,Sunday,70,4
February,Sunday,76,4
March,Sunday,114,4
April,Sunday,70,4
May,Sunday,73,4
June,Sunday,47,4
July,Sunday,59,4
August,Sunday,61,4
September,Sunday,66,4
October,Sunday,68,4
November,Sunday,81,4
December,Sunday,92,4
January,Sunday,73,5
February,Sunday,77,5
March,Sunday,73,5
April,Sunday,50,5
May,Sunday,62,5
June,Sunday,59,5
July,Sunday,64,5
August,Sunday,69,5
September,Sunday,43,5
October,Sunday,65,5
November,Sunday,99,5
December,Sunday,105,5
January,Sunday,61,6
February,Sunday,57,6
March,Sunday,69,6
April,Sunday,56,6
May,Sunday,44,6
June,Sunday,75,6
July,Sunday,73,6
August,Sunday,68,6
September,Sunday,60,6
October,Sunday,57,6
November,Sunday,84,6
December,Sunday,95,6
January,Sunday,75,7
February,Sunday,88,7
March,Sunday,92,7
April,Sunday,61,7
May,Sunday,32,7
June,Sunday,73,7
July,Sunday,105,7
August,Sunday,71,7
September,Sunday,56,7
October,Sunday,48,7
November,Sunday,127,7
December,Sunday,83,7
January,Sunday,53,8
February,Sunday,90,8
March,Sunday,97,8
April,Sunday,55,8
May,Sunday,65,8
June,Sunday,75,8
July,Sunday,106,8
August,Sunday,75,8
September,Sunday,78,8
October,Sunday,68,8
November,Sunday,108,8
December,Sunday,102,8
January,Sunday,67,9
February,Sunday,97,9
March,Sunday,96,9
April,Sunday,58,9
May,Sunday,46,9
June,Sunday,100,9
July,Sunday,113,9
August,Sunday,118,9
September,Sunday,54,9
October,Sunday,82,9
November,Sunday,94,9
December,Sunday,55,9
January,Sunday,65,10
February,Sunday,75,10
March,Sunday,101,10
April,Sunday,68,10
May,Sunday,74,10
June,Sunday,64,10
July,Sunday,132,10
August,Sunday,97,10
September,Sunday,112,10
October,Sunday,102,10
November,Sunday,100,10
December,Sunday,74,10
January,Sunday,73,11
February,Sunday,98,11
March,Sunday,103,11
April,Sunday,86,11
May,Sunday,93,11
June,Sunday,123,11
July,Sunday,141,11
August,Sunday,94,11
September,Sunday,83,11
October,Sunday,97,11
November,Sunday,109,11
December,Sunday,99,11
January,Sunday,77,12
February,Sunday,75,12
March,Sunday,129,12
April,Sunday,89,12
May,Sunday,95,12
June,Sunday,91,12
July,Sunday,280,12
August,Sunday,114,12
September,Sunday,246,12
October,Sunday,121,12
November,Sunday,132,12
December,Sunday,107,12
January,Sunday,86,13
February,Sunday,82,13
March,Sunday,132,13
April,Sunday,106,13
May,Sunday,108,13
June,Sunday,123,13
July,Sunday,212,13
August,Sunday,165,13
September,Sunday,137,13
October,Sunday,117,13
November,Sunday,110,13
December,Sunday,141,13
January,Sunday,81,14
February,Sunday,90,14
March,Sunday,109,14
April,Sunday,105,14
May,Sunday,87,14
June,Sunday,88,14
July,Sunday,144,14
August,Sunday,121,14
September,Sunday,119,14
October,Sunday,140,14
November,Sunday,124,14
December,Sunday,97,14
January,Sunday,64,15
February,Sunday,94,15
March,Sunday,113,15
April,Sunday,67,15
May,Sunday,72,15
June,Sunday,102,15
July,Sunday,128,15
August,Sunday,71,15
September,Sunday,42,15
October,Sunday,161,15
November,Sunday,120,15
December,Sunday,141,15
January,Sunday,84,16
February,Sunday,87,16
March,Sunday,120,16
April,Sunday,102,16
May,Sunday,68,16
June,Sunday,139,16
July,Sunday,133,16
August,Sunday,125,16
September,Sunday,111,16
October,Sunday,115,16
November,Sunday,118,16
December,Sunday,139,16
January,Sunday,83,17
February,Sunday,66,17
March,Sunday,125,17
April,Sunday,86,17
May,Sunday,88,17
June,Sunday,99,17
July,Sunday,157,17
August,Sunday,175,17
September,Sunday,150,17
October,Sunday,111,17
November,Sunday,151,17
December,Sunday,133,17
January,Sunday,82,18
February,Sunday,95,18
March,Sunday,148,18
April,Sunday,114,18
May,Sunday,67,18
June,Sunday,77,18
July,Sunday,209,18
August,Sunday,156,18
September,Sunday,98,18
October,Sunday,118,18
November,Sunday,125,18
December,Sunday,122,18
January,Sunday,88,19
February,Sunday,89,19
March,Sunday,127,19
April,Sunday,103,19
May,Sunday,42,19
June,Sunday,101,19
July,Sunday,174,19
August,Sunday,101,19
September,Sunday,104,19
October,Sunday,109,19
November,Sunday,138,19
December,Sunday,111,19
January,Sunday,73,20
February,Sunday,96,20
March,Sunday,104,20
April,Sunday,94,20
May,Sunday,62,20
June,Sunday,91,20
July,Sunday,140,20
August,Sunday,61,20
September,Sunday,116,20
October,Sunday,68,20
November,Sunday,113,20
December,Sunday,117,20
January,Sunday,81,21
February,Sunday,99,21
March,Sunday,91,21
April,Sunday,112,21
May,Sunday,76,21
June,Sunday,92,21
July,Sunday,147,21
August,Sunday,132,21
September,Sunday,118,21
October,Sunday,106,21
November,Sunday,118,21
December,Sunday,152,21
January,Sunday,93,22
February,Sunday,137,22
March,Sunday,131,22
April,Sunday,74,22
May,Sunday,88,22
June,Sunday,125,22
July,Sunday,133,22
August,Sunday,105,22
September,Sunday,133,22
October,Sunday,106,22
November,Sunday,129,22
December,Sunday,141,22
January,Sunday,147,23
February,Sunday,168,23
March,Sunday,157,23
April,Sunday,125,23
May,Sunday,77,23
June,Sunday,170,23
July,Sunday,199,23
August,Sunday,155,23
September,Sunday,155,23
October,Sunday,210,23
November,Sunday,211,23
December,Sunday,159,23
January,Sunday,105,24
February,Sunday,208,24
March,Sunday,141,24
April,Sunday,92,24
May,Sunday,88,24
June,Sunday,139,24
July,Sunday,110,24
August,Sunday,117,24
September,Sunday,113,24
October,Sunday,132,24
November,Sunday,152,24
December,Sunday,190,24
January,Weekdays,209.6,1
February,Weekdays,207.0,1
March,Weekdays,192.4,1
April,Weekdays,143.8,1
May,Weekdays,132.0,1
June,Weekdays,177.0,1
July,Weekdays,177.2,1
August,Weekdays,158.6,1
September,Weekdays,169.2,1
October,Weekdays,138.4,1
November,Weekdays,209.8,1
December,Weekdays,209.4,1
January,Weekdays,210.0,2
February,Weekdays,213.2,2
March,Weekdays,180.4,2
April,Weekdays,121.8,2
May,Weekdays,134.8,2
June,Weekdays,154.0,2
July,Weekdays,155.8,2
August,Weekdays,168.8,2
September,Weekdays,157.0,2
October,Weekdays,123.4,2
November,Weekdays,218.8,2
December,Weekdays,200.6,2
January,Weekdays,219.2,3
February,Weekdays,244.6,3
March,Weekdays,223.4,3
April,Weekdays,138.6,3
May,Weekdays,162.6,3
June,Weekdays,161.0,3
July,Weekdays,201.8,3
August,Weekdays,154.4,3
September,Weekdays,190.0,3
October,Weekdays,172.8,3
November,Weekdays,231.8,3
December,Weekdays,203.0,3
January,Weekdays,253.4,4
February,Weekdays,255.4,4
March,Weekdays,271.6,4
April,Weekdays,152.6,4
May,Weekdays,186.0,4
June,Weekdays,226.4,4
July,Weekdays,208.4,4
August,Weekdays,212.0,4
September,Weekdays,224.2,4
October,Weekdays,227.8,4
November,Weekdays,276.2,4
December,Weekdays,290.8,4
January,Weekdays,355.0,5
February,Weekdays,411.8,5
March,Weekdays,381.8,5
April,Weekdays,181.8,5
May,Weekdays,263.4,5
June,Weekdays,301.4,5
July,Weekdays,351.6,5
August,Weekdays,301.4,5
September,Weekdays,356.8,5
October,Weekdays,333.2,5
November,Weekdays,393.2,5
December,Weekdays,401.8,5
January,Weekdays,558.2,6
February,Weekdays,596.6,6
March,Weekdays,585.0,6
April,Weekdays,324.6,6
May,Weekdays,426.6,6
June,Weekdays,487.6,6
July,Weekdays,598.4,6
August,Weekdays,467.0,6
September,Weekdays,562.8,6
October,Weekdays,506.6,6
November,Weekdays,611.8,6
December,Weekdays,610.6,6
January,Weekdays,677.2,7
February,Weekdays,778.2,7
March,Weekdays,720.8,7
April,Weekdays,471.2,7
May,Weekdays,787.6,7
June,Weekdays,815.0,7
July,Weekdays,956.2,7
August,Weekdays,641.8,7
September,Weekdays,890.0,7
October,Weekdays,740.0,7
November,Weekdays,860.8,7
December,Weekdays,888.0,7
January,Weekdays,685.6,8
February,Weekdays,806.8,8
March,Weekdays,849.6,8
April,Weekdays,556.2,8
May,Weekdays,912.4,8
June,Weekdays,919.6,8
July,Weekdays,1005.0,8
August,Weekdays,803.6,8
September,Weekdays,960.0,8
October,Weekdays,750.8,8
November,Weekdays,972.4,8
December,Weekdays,995.8,8
January,Weekdays,738.0,9
February,Weekdays,817.4,9
March,Weekdays,930.6,9
April,Weekdays,546.0,9
May,Weekdays,792.6,9
June,Weekdays,910.2,9
July,Weekdays,1054.0,9
August,Weekdays,696.6,9
September,Weekdays,939.8,9
October,Weekdays,769.6,9
November,Weekdays,917.4,9
December,Weekdays,988.2,9
January,Weekdays,810.4,10
February,Weekdays,1003.4,10
March,Weekdays,1039.8,10
April,Weekdays,556.0,10
May,Weekdays,830.4,10
June,Weekdays,780.2,10
July,Weekdays,1020.6,10
August,Weekdays,694.0,10
September,Weekdays,976.8,10
October,Weekdays,860.2,10
November,Weekdays,974.0,10
December,Weekdays,1085.0,10
January,Weekdays,909.6,11
February,Weekdays,942.0,11
March,Weekdays,1010.6,11
April,Weekdays,570.4,11
May,Weekdays,814.2,11
June,Weekdays,862.2,11
July,Weekdays,1013.4,11
August,Weekdays,714.0,11
September,Weekdays,999.4,11
October,Weekdays,846.8,11
November,Weekdays,996.6,11
December,Weekdays,1084.6,11
January,Weekdays,836.0,12
February,Weekdays,913.8,12
March,Weekdays,953.8,12
April,Weekdays,586.4,12
May,Weekdays,800.4,12
June,Weekdays,862.2,12
July,Weekdays,961.4,12
August,Weekdays,769.4,12
September,Weekdays,953.8,12
October,Weekdays,803.0,12
November,Weekdays,966.0,12
December,Weekdays,1060.0,12
January,Weekdays,797.2,13
February,Weekdays,895.2,13
March,Weekdays,945.0,13
April,Weekdays,556.4,13
May,Weekdays,772.2,13
June,Weekdays,853.0,13
July,Weekdays,967.2,13
August,Weekdays,737.0,13
September,Weekdays,978.0,13
October,Weekdays,773.8,13
November,Weekdays,939.0,13
December,Weekdays,1025.6,13
January,Weekdays,789.2,14
February,Weekdays,913.4,14
March,Weekdays,917.0,14
April,Weekdays,555.0,14
May,Weekdays,762.4,14
June,Weekdays,865.6,14
July,Weekdays,951.0,14
August,Weekdays,702.4,14
September,Weekdays,870.2,14
October,Weekdays,775.4,14
November,Weekdays,928.6,14
December,Weekdays,999.4,14
January,Weekdays,843.0,15
February,Weekdays,929.6,15
March,Weekdays,949.0,15
April,Weekdays,577.4,15
May,Weekdays,836.6,15
June,Weekdays,865.0,15
July,Weekdays,902.6,15
August,Weekdays,760.0,15
September,Weekdays,917.6,15
October,Weekdays,857.8,15
November,Weekdays,977.6,15
December,Weekdays,1038.0,15
January,Weekdays,809.2,16
February,Weekdays,852.4,16
March,Weekdays,881.6,16
April,Weekdays,575.8,16
May,Weekdays,889.2,16
June,Weekdays,1001.0,16
July,Weekdays,968.4,16
August,Weekdays,708.6,16
September,Weekdays,1021.8,16
October,Weekdays,866.2,16
November,Weekdays,1003.0,16
December,Weekdays,928.2,16
January,Weekdays,749.4,17
February,Weekdays,769.6,17
March,Weekdays,945.0,17
April,Weekdays,566.0,17
May,Weekdays,798.2,17
June,Weekdays,944.6,17
July,Weekdays,879.6,17
August,Weekdays,684.6,17
September,Weekdays,874.2,17
October,Weekdays,774.4,17
November,Weekdays,887.4,17
December,Weekdays,1004.0,17
January,Weekdays,676.2,18
February,Weekdays,766.2,18
March,Weekdays,811.2,18
April,Weekdays,556.4,18
May,Weekdays,719.4,18
June,Weekdays,757.0,18
July,Weekdays,820.2,18
August,Weekdays,681.0,18
September,Weekdays,817.0,18
October,Weekdays,646.8,18
November,Weekdays,747.2,18
December,Weekdays,893.2,18
January,Weekdays,562.8,19
February,Weekdays,637.0,19
March,Weekdays,693.0,19
April,Weekdays,485.8,19
May,Weekdays,611.8,19
June,Weekdays,571.8,19
July,Weekdays,697.0,19
August,Weekdays,578.0,19
September,Weekdays,759.0,19
October,Weekdays,543.4,19
November,Weekdays,635.2,19
December,Weekdays,752.0,19
January,Weekdays,476.0,20
February,Weekdays,456.8,20
March,Weekdays,561.4,20
April,Weekdays,386.0,20
May,Weekdays,450.0,20
June,Weekdays,480.2,20
July,Weekdays,528.4,20
August,Weekdays,441.6,20
September,Weekdays,605.2,20
October,Weekdays,420.8,20
November,Weekdays,550.0,20
December,Weekdays,586.8,20
January,Weekdays,374.0,21
February,Weekdays,393.6,21
March,Weekdays,423.2,21
April,Weekdays,276.2,21
May,Weekdays,362.8,21
June,Weekdays,395.6,21
July,Weekdays,434.4,21
August,Weekdays,348.4,21
September,Weekdays,428.4,21
October,Weekdays,311.8,21
November,Weekdays,393.4,21
December,Weekdays,438.2,21
January,Weekdays,290.0,22
February,Weekdays,328.4,22
March,Weekdays,327.2,22
April,Weekdays,208.2,22
May,Weekdays,282.4,22
June,Weekdays,271.2,22
July,Weekdays,322.4,22
August,Weekdays,276.2,22
September,Weekdays,276.0,22
October,Weekdays,233.2,22
November,Weekdays,303.0,22
December,Weekdays,357.6,22
January,Weekdays,244.2,23
February,Weekdays,242.2,23
March,Weekdays,230.0,23
April,Weekdays,187.6,23
May,Weekdays,208.4,23
June,Weekdays,224.4,23
July,Weekdays,237.2,23
August,Weekdays,221.4,23
September,Weekdays,232.8,23
October,Weekdays,170.4,23
November,Weekdays,269.6,23
December,Weekdays,246.8,23
January,Weekdays,193.6,24
February,Weekdays,236.8,24
March,Weekdays,216.4,24
April,Weekdays,143.2,24
May,Weekdays,177.0,24
June,Weekdays,179.2,24
July,Weekdays,212.8,24
August,Weekdays,171.4,24
September,Weekdays,184.8,24
October,Weekdays,156.0,24
November,Weekdays,218.2,24
December,Weekdays,212.0,24
